Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.14154991507530212,0.9657366871833801,0.048202406615018845,0.9881672859191895
2,0.05544055625796318,0.9879252910614014,0.03257706016302109,0.9914694428443909
3,0.06454471498727798,0.9893701076507568,0.02900274470448494,0.9939460754394531
4,0.04464602470397949,0.9918813705444336,0.022856397554278374,0.9946340322494507
5,0.049841418862342834,0.9925006031990051,0.026487810537219048,0.9946340322494507
6,0.050950076431035995,0.9926726222038269,0.028999730944633484,0.9939460754394531
7,0.041841860860586166,0.9934638142585754,0.01934259943664074,0.9972482323646545
8,0.05541941523551941,0.9936702251434326,0.03089136816561222,0.9957347512245178
9,0.046615876257419586,0.9943926334381104,0.048608776181936264,0.9947715997695923
10,0.05020519345998764,0.9939454197883606,0.024112386628985405,0.9966978430747986
