Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.28046900033950806,0.9151673316955566,0.11641419678926468,0.9627132415771484
2,0.12573184072971344,0.9677663445472717,0.07862339913845062,0.9804623126983643
3,0.10243743658065796,0.9754721522331238,0.06660519540309906,0.9800495505332947
4,0.09421662241220474,0.9799098968505859,0.05833824351429939,0.985415518283844
5,0.09642009437084198,0.9804946780204773,0.045324839651584625,0.9876169562339783
6,0.07589630037546158,0.9832467436790466,0.08786714822053909,0.9704182744026184
7,0.07960814982652664,0.9841411709785461,0.04723992198705673,0.9895431995391846
8,0.08198343962430954,0.9835907816886902,0.049245309084653854,0.988855242729187
9,0.09784524142742157,0.9842787981033325,0.0690358504652977,0.9861034750938416
10,0.07161924988031387,0.9858612418174744,0.05150819197297096,0.9903687238693237
