Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.3658987283706665,0.874092698097229,0.20438967645168304,0.9290038347244263
2,0.21584421396255493,0.9415528774261475,0.17129062116146088,0.9463401436805725
3,0.19545111060142517,0.9521827101707458,0.12275822460651398,0.9678040742874146
4,0.18490299582481384,0.9535588026046753,0.12885208427906036,0.9625756740570068
5,0.1827262043952942,0.9571020603179932,0.17061729729175568,0.9486791491508484
6,0.19530165195465088,0.9564484357833862,0.12422371655702591,0.9643643498420715
7,0.214353546500206,0.9571364521980286,0.18215928971767426,0.9611997604370117
8,0.2783986032009125,0.9529051780700684,0.1672380566596985,0.9689047932624817
9,0.29529494047164917,0.9526299238204956,0.313093900680542,0.9573472738265991
10,0.3569360077381134,0.9535931944847107,0.2527863085269928,0.9614749550819397
